subject,topic,difficulty,isPYQ,pyqYear,questionText,optionA,optionB,optionC,optionD,correctOption,solution
Analog Electronics,Diodes,Easy,false,,What is the knee voltage of a silicon diode?,0.3V,0.7V,1.1V,0.5V,B,The knee voltage (or cut-in voltage) of a silicon diode is approximately 0.7V. For germanium diodes it is about 0.3V.
Analog Electronics,Diodes,Easy,false,,A Zener diode is used as a,Rectifier,Amplifier,Voltage regulator,Oscillator,C,A Zener diode is designed to operate in reverse breakdown and is primarily used as a voltage regulator to maintain a constant output voltage.
Analog Electronics,BJTs,Easy,false,,How many PN junctions does a BJT have?,1,2,3,4,B,A Bipolar Junction Transistor has two PN junctions: the base-emitter junction and the base-collector junction.
Analog Electronics,BJTs,Medium,false,,In a common-emitter configuration the phase difference between input and output is,0 degrees,90 degrees,180 degrees,270 degrees,C,The common-emitter amplifier introduces a 180-degree phase shift between the input and output signals.
Analog Electronics,MOSFETs,Easy,false,,MOSFET is a,Current controlled device,Voltage controlled device,Resistance controlled device,None of these,B,MOSFET is a voltage-controlled device where the drain current is controlled by the gate-to-source voltage (Vgs).
Analog Electronics,MOSFETs,Medium,false,,Which MOSFET can operate in both enhancement and depletion modes?,JFET,Enhancement MOSFET,Depletion MOSFET,None,C,A depletion-type MOSFET can operate in both enhancement mode (positive Vgs) and depletion mode (negative Vgs for N-channel).
Analog Electronics,Operational Amplifiers,Easy,false,,The input impedance of an ideal op-amp is,Zero,Infinite,Very low,Equal to output impedance,B,An ideal operational amplifier has infinite input impedance so that it draws no current from the source.
Analog Electronics,Operational Amplifiers,Medium,true,2022,What is the gain of a non-inverting amplifier with Rf=10k and R1=2k?,5,6,4,10,B,The gain of a non-inverting amplifier is Av = 1 + (Rf/R1) = 1 + (10k/2k) = 1 + 5 = 6.
Analog Electronics,Operational Amplifiers,Easy,false,,The CMRR of an ideal op-amp is,Zero,Unity,Infinite,Very low,C,The Common Mode Rejection Ratio of an ideal op-amp is infinite meaning it perfectly rejects common-mode signals.
Analog Electronics,Feedback,Medium,false,,Negative feedback in an amplifier,Increases gain,Decreases gain and increases bandwidth,Decreases bandwidth,Has no effect,B,Negative feedback reduces the overall gain but increases the bandwidth and improves stability of the amplifier.
